Experiment,Year,System,Hybrid,Rep,Plot,Range,Row,PHT,EHT,YIELD,MST,PROT,OIL,FIB,STA
HIP_Hybrid_Conv,2022,Conventional,LH145*LH82,4,631,23,53,136,40,67.03032544,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHJ40*PHAJ0,1,569,6,55,129,50,53.55621302,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHJ40*PHAJ0,2,583,10,55,131,50,74.72104818,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH145*LH82,2,587,11,53,149,50,89.15384615,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*PHK76,1,566,5,51,172,51,154.3551352,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHJ40*PHAJ0,4,627,22,55,129,53,42.38377008,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH145*LH82,3,595,14,51,143,55,107.8174134,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHRE1*PHTD5,2,582,10,53,139,56,117.7461961,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH195*PHN82,1,556,3,55,163,56,178.5450127,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*PHN82,2,586,11,55,165,56,184.5190194,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHRE1*PHTD5,4,626,22,53,144,57,NA,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHG29*PHG47,4,638,25,55,160,58,144.2776839,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH195*PHK76,1,554,2,57,168,58,200.8901099,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHJ89*PH207,3,612,18,53,171,58,130.9583686,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,PHB47*PHN82,1,1034,3,5,122,60,60.26086957,8.1,6.76,3.23,1.52,68.26
HIP_Hybrid_Conv,2022,Conventional,LH195*PHN82,4,623,21,53,166,60,136.3371724,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHJ40*PHAJ0,3,613,18,55,132,61,48.18195266,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,PHJ40*PHAJ0,1,1044,4,23,158,61,68.3919018,8.09,7.95,3.33,1.34,66.98
HIP_Hybrid_Conv,2022,Conventional,LH244*PHK76,1,564,5,55,179,61,187.1743449,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*PHK76,3,610,17,51,177,62,151.8729924,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH195*PHZ51,1,552,2,53,179,62,192.2806424,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH195*PHN82,3,600,15,55,169,63,171.2867709,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH145*LH82,1,551,2,51,142,64,125.9467456,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH195*PHK76,2,577,9,57,169,64,176.2278107,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH195*PHZ51,4,622,21,55,189,64,128.2998732,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,LH195*MO17,1,1046,4,27,174,65,98.2845382,7.98,6.15,4.44,2.31,67.92
HIP_Hybrid_Conv,2022,Conventional,PHB47*PHK76,2,573,8,51,179,65,153.5325444,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*PHK76,4,617,20,51,191,65,130.8729924,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,B73*PHN82,2,584,10,57,179,66,211.1105241,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*PHN82,4,630,23,55,167,67,105.5199704,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*MO17,4,625,22,51,191,67,130.7109045,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHRE1*PHTD5,3,616,19,55,149,68,54.63387574,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,PHJ40*PHAJ0,2,1114,8,31,161,68,75.34709432,7.94,9.23,3.4,1.28,65.94
HIP_Hybrid_Conv,2022,Conventional,PHB47*MO17,1,567,6,51,184,68,172.7587701,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH244*PHZ51,4,620,20,57,203,68,117.5480769,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHJ89*PH207,2,575,8,55,163,69,112.9423077,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*PHN82,1,561,4,55,164,69,164.146978,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*MO17,2,581,10,51,181,69,182.7204142,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH244*PHZ51,1,571,7,57,199,69,128.9556213,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,PHG29*PHG47,2,1101,8,5,150,70,98.89582272,7.74,6.47,4.49,1.7,67.84
HIP_Hybrid_Conv,2022,Conventional,LH195*PHN82,2,579,9,53,165,70,165.7068893,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,B73*PHN82,1,1022,3,29,171,70,89.05965137,7.76,6.17,4.24,1.86,68.16
ORG_YieldTrial2022,2022,Organic,PHJ89*PH207,2,1171,12,9,178,70,66.81422542,8.11,6.95,3.62,1.63,67.98
HIP_Hybrid_Conv,2022,Conventional,PHB47*PHZ51,1,562,4,57,187,70,182.2781065,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,B73*MO17,1,1053,5,35,150,71,182.0375289,8.07,6.79,3.82,1.99,68.17
ORG_YieldTrial2022,2022,Organic,PHJ89*PH207,1,1035,4,5,164,71,79.82340497,8.12,6.55,3.8,1.84,68.22
HIP_Hybrid_Conv,2022,Conventional,PHG29*PHG47,1,565,5,53,167,71,145.2419696,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHJ89*PH207,4,619,20,55,173,71,111.4792899,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*PHZ51,3,606,16,57,193,71,268.9908073,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,LH195*PHN82,1,1045,4,25,162,72,131.3741941,7.53,6.71,3.64,1.45,68.22
HIP_Hybrid_Conv,2022,Conventional,PHG29*PHG47,3,609,17,53,171,72,137.0319104,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,59R5,2,1199,13,11,175,72,86.34268459,7.81,5.94,3.44,2.07,69.02
ORG_YieldTrial2022,2022,Organic,TX714*PHZ51,1,1065,5,11,179,73,83.27822851,7.99,6.16,4.64,1.92,67.69
HIP_Hybrid_Conv,2022,Conventional,LH244*PHN82,4,634,24,53,181,73,156.2827557,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHRE1*PHTD5,1,572,7,55,147,74,99.06572274,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH244*PHZ51,2,576,8,57,178,74,163.3865173,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH244*PHN82,2,590,12,53,192,74,192.5680473,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,B73*PHZ51,3,602,15,51,204,74,198.6057692,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,PHRE1*PHTD5,2,1166,11,9,149,75,77.04847369,7.86,7.58,3.52,1.61,67.42
HIP_Hybrid_Conv,2022,Conventional,LH195*PHK76,4,621,21,57,170,75,152.9323753,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,LH244*PHN82,1,1081,6,29,180,75,122.100471,7.3,5.98,3.15,1.79,70.03
HIP_Hybrid_Conv,2022,Conventional,LH244*MO17,1,560,4,53,191,76,204.989645,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH195*PHZ51,3,596,14,53,195,76,175.5713229,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*PHZ51,2,585,11,57,195,76,168.2650042,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*MO17,3,611,18,51,196,76,162.3854607,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH195*PHK76,3,598,14,57,171,77,193.5379332,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,PHB47*PHN82,2,1102,8,7,182,77,109.1937735,8.03,7.33,3.43,1.38,67.39
HIP_Hybrid_Conv,2022,Conventional,LH244*PHK76,2,580,9,51,187,77,164.7043533,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*PHZ51,4,629,23,57,194,77,125.046175,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,B73*PHN82,1,557,3,53,175,78,219.647929,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH244*PHK76,3,608,17,55,190,78,178.3557692,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHB47*PHN82,3,605,16,55,168,79,179.1502536,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,LH195*PHK76,2,1153,11,35,174,79,174.7104029,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,PHJ89*PH207,1,568,6,53,176,79,147.430262,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,59R5,1,1079,6,25,190,79,119.632405,8.02,6.3,3.47,1.72,68.74
HIP_Hybrid_Conv,2022,Conventional,B73*PHZ51,2,589,12,51,201,79,197.6018597,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,B73*PHN82,4,628,22,57,184,80,176.3254438,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,B73*PHK76,2,593,13,57,185,80,195.6374683,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH195*MO17,3,597,14,55,199,80,201.8441462,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,LH145*LH82,2,1140,10,15,157,81,107.3625791,7.56,6.53,3.36,1.73,68.86
HIP_Hybrid_Conv,2022,Conventional,LH195*PHZ51,2,578,9,55,182,81,150.7285503,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH244*PHK76,4,624,21,51,182,81,138.5976331,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH195*MO17,4,632,23,51,191,81,136.79459,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,LH244*PHZ51,1,1098,7,13,197,81,100.4472053,7.67,5.96,4.34,2.09,68.41
ORG_YieldTrial2022,2022,Organic,LH195*PHK76,1,1092,7,25,122,82,149.3798723,7.84,6.9,3.73,1.34,67.67
HIP_Hybrid_Conv,2022,Conventional,LH244*PHN82,1,555,3,57,173,82,204.2569738,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH244*PHN82,3,599,15,57,184,82,206.9488588,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,LH244*PHN82,2,1109,8,21,180,83,121.4882996,7.53,6.27,3.52,1.73,68.75
HIP_Hybrid_Conv,2022,Conventional,B73*PHK76,4,637,25,57,187,83,184.592033,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,LH145*LH82,1,1061,5,19,146,85,80.75806632,7.42,7.27,3.66,1.46,68.02
ORG_YieldTrial2022,2022,Organic,PHB47*PHZ51,1,1052,5,37,175,85,145.4466937,7.84,7.75,3.76,1.56,67.09
HIP_Hybrid_Conv,2022,Conventional,PHG29*PHG47,2,594,13,55,169,87,155.1088335,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,PHB47*PHZ51,2,1191,13,27,209,87,116.4334122,8.22,6.84,4.1,2.15,67.3
HIP_Hybrid_Conv,2022,Conventional,LH244*PHZ51,3,615,19,57,214,87,126.7789518,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,B73*PHN82,2,1197,13,15,162,88,87.66387616,7.82,5.99,3.27,1.81,69.23
HIP_Hybrid_Conv,2022,Conventional,LH195*MO17,2,588,11,51,196,88,220.9196957,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,B73*PHK76,1,559,4,51,183,89,186.5337067,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,B73*PHK76,3,603,16,51,189,89,191.3313609,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,PHB47*PHK76,2,1142,10,19,191,89,95.61940322,7.91,7.52,3.48,1.68,67.09
ORG_YieldTrial2022,2022,Organic,PHG29*PHG47,1,1090,7,29,174,90,126.1042479,7.61,6.64,4.63,1.61,67.69
ORG_YieldTrial2022,2022,Organic,LH195*PHN82,2,1163,11,15,176,90,125.0796541,7.21,6.42,3.22,1.46,69.53
ORG_YieldTrial2022,2022,Organic,PHB47*MO17,2,1129,9,15,186,90,128.0789557,8.02,7.51,4,1.92,66.06
HIP_Hybrid_Conv,2022,Conventional,TX714*PHZ51,2,592,12,57,209,90,128.4746407,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,LH244*PHZ51,2,1108,8,19,205,91,99.19898284,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,TX714*PHZ51,3,607,17,57,208,91,82.92476754,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,PHB47*PHK76,1,1078,6,23,154,92,103.7081547,8.24,7.27,3.54,1.68,66.54
ORG_YieldTrial2022,2022,Organic,LH244*MO17,2,1124,9,25,198,92,143.7149473,7.93,6.36,4.18,2.09,68.07
HIP_Hybrid_Conv,2022,Conventional,B73*MO17,1,570,6,57,201,92,232.3472105,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,LH195*PHZ51,1,1096,7,17,202,92,166.30621,8,6.51,4.47,1.6,67.63
HIP_Hybrid_Conv,2022,Conventional,B73*PHZ51,1,558,3,51,202,93,206.2042477,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH244*MO17,3,604,16,53,208,93,247.9748521,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,B73*PHN82,3,601,15,53,191,94,201.1277473,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,B73*MO17,2,591,12,55,198,94,192.3032544,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,B73*PHZ51,2,1146,10,27,210,94,103.9671592,7.89,6.03,4.58,2.11,67.83
HIP_Hybrid_Conv,2022,Conventional,LH195*MO17,1,553,2,55,194,96,230.9551986,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,B73*PHK76,2,1136,10,7,194,97,138.6254657,7.69,5.78,4.31,1.71,68.34
ORG_YieldTrial2022,2022,Organic,B73*MO17,2,1134,9,5,195,97,113.7684684,8.12,5.98,4,2.19,68.18
HIP_Hybrid_Conv,2022,Conventional,TX714*PHZ51,4,636,24,57,219,97,118.8334742,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH244*MO17,2,574,8,53,191,98,221.2647929,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,PHB47*MO17,1,1054,5,33,218,99,165.3514793,8.26,8.15,4.2,1.76,66.05
ORG_YieldTrial2022,2022,Organic,LH244*PHK76,1,1051,4,37,197,100,156.3883829,7.78,6.06,4.16,1.73,68.15
ORG_YieldTrial2022,2022,Organic,LH195*MO17,2,1155,11,31,198,100,176.8932969,7.63,7.29,4.78,1.97,66.58
HIP_Hybrid_Conv,2022,Conventional,TX714*PHZ51,1,563,5,57,206,101,185.0972105,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,B73*MO17,4,635,24,55,203,102,175.7803254,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,LH195*PHZ51,2,1141,10,17,206,102,134.6374048,7.65,6.97,4.33,1.65,67.33
ORG_YieldTrial2022,2022,Organic,B73*PHZ51,1,1004,2,11,220,102,102.7581528,7.81,6.43,4.19,1.89,67.79
ORG_YieldTrial2022,2022,Organic,LH244*PHK76,2,1167,11,7,195,103,145.6604657,7.47,6.03,4.61,1.86,67.69
HIP_Hybrid_Conv,2022,Conventional,B73*MO17,3,614,18,57,209,103,185.147929,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,B73*PHK76,1,1006,2,15,173,105,109.7331589,7.51,6.37,3.22,1.6,68.54
HIP_Hybrid_Conv,2022,Conventional,B73*PHZ51,4,633,24,51,205,106,185.4970414,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,PHRE1*PHTD5,1,1067,5,7,207,108,78.9598048,NA,NA,NA,NA,NA
HIP_Hybrid_Conv,2022,Conventional,LH244*MO17,4,618,20,53,208,111,156.1538462,NA,NA,NA,NA,NA
ORG_YieldTrial2022,2022,Organic,TX714*PHZ51,2,1106,8,15,216,112,89.99228197,7.85,7.23,3.48,1.57,68.11
ORG_YieldTrial2022,2022,Organic,LH244*MO17,1,1021,3,31,209,118,135.473064,7.96,6.17,5.01,2.32,67.15
